Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-15 09:30:00-04:00,163.0,166.2545928955078,152.8000030517578,153.83290100097656,2634272,0,0
2021-04-15 10:30:00-04:00,153.85989379882812,157.5,153.4499969482422,154.07000732421875,1039031,0,0
2021-04-15 11:30:00-04:00,154.18719482421875,157.0449981689453,153.5,154.17999267578125,558155,0,0
2021-04-15 12:30:00-04:00,154.27000427246094,159.97000122070312,152.83999633789062,157.07000732421875,913350,0,0
2021-04-15 13:30:00-04:00,157.2899932861328,165.5998992919922,156.72000122070312,162.10000610351562,1284226,0,0
2021-04-15 14:30:00-04:00,162.125,163.1999969482422,157.5,158.0500030517578,668774,0,0
2021-04-15 15:30:00-04:00,158.0,158.87710571289062,154.86019897460938,156.32000732421875,539339,0,0
2021-04-16 09:30:00-04:00,155.0,158.42730712890625,151.25,157.55999755859375,1537128,0,0
2021-04-16 10:30:00-04:00,157.49000549316406,160.1968994140625,155.0,155.25,937721,0,0
2021-04-16 11:30:00-04:00,155.47000122070312,156.9199981689453,153.02999877929688,153.75999450683594,457576,0,0
2021-04-16 12:30:00-04:00,153.88999938964844,155.7406005859375,152.61000061035156,154.72000122070312,495025,0,0
2021-04-16 13:30:00-04:00,154.85000610351562,155.0,152.82000732421875,153.1999969482422,305060,0,0
2021-04-16 14:30:00-04:00,153.11000061035156,155.74989318847656,151.82000732421875,154.7899932861328,637319,0,0
2021-04-16 15:30:00-04:00,154.62989807128906,155.99000549316406,153.6999969482422,154.67999267578125,564507,0,0
2021-04-19 09:30:00-04:00,171.8000030517578,175.1999969482422,164.11000061035156,173.3000030517578,5088228,0,0
2021-04-19 10:30:00-04:00,173.61500549316406,173.95989990234375,162.3300018310547,164.78500366210938,2208087,0,0
2021-04-19 11:30:00-04:00,164.58999633789062,168.64999389648438,163.7899932861328,166.63229370117188,862492,0,0
2021-04-19 12:30:00-04:00,166.6999969482422,167.67999267578125,163.6304931640625,164.16000366210938,514095,0,0
2021-04-19 13:30:00-04:00,164.0,166.32899475097656,163.4741973876953,165.10850524902344,619372,0,0
2021-04-19 14:30:00-04:00,165.07000732421875,165.40420532226562,163.0,163.4001007080078,439855,0,0
2021-04-19 15:30:00-04:00,163.6262969970703,165.85989379882812,163.30999755859375,164.50999450683594,523929,0,0
2021-04-20 09:30:00-04:00,163.0500030517578,163.85000610351562,157.3000030517578,160.5500030517578,1533306,0,0
2021-04-20 10:30:00-04:00,160.51429748535156,160.62989807128906,153.36000061035156,155.2895050048828,1016841,0,0
2021-04-20 11:30:00-04:00,155.36000061035156,158.17999267578125,154.59210205078125,156.46470642089844,532801,0,0
2021-04-20 12:30:00-04:00,156.42999267578125,158.35000610351562,156.24000549316406,157.4600067138672,255392,0,0
2021-04-20 13:30:00-04:00,157.73989868164062,157.74000549316406,156.47000122070312,156.74000549316406,234825,0,0
2021-04-20 14:30:00-04:00,156.87420654296875,156.98989868164062,154.1300048828125,155.2012939453125,381498,0,0
2021-04-20 15:30:00-04:00,155.14599609375,159.22000122070312,154.63009643554688,158.60000610351562,562572,0,0
2021-04-21 09:30:00-04:00,158.39999389648438,162.97999572753906,155.9199981689453,158.0,1345568,0,0
2021-04-21 10:30:00-04:00,158.0,159.49000549316406,157.24969482421875,158.4550018310547,456902,0,0
2021-04-21 11:30:00-04:00,158.35000610351562,159.8300018310547,157.1699981689453,158.67999267578125,529204,0,0
2021-04-21 12:30:00-04:00,158.75,159.0,157.39999389648438,157.78500366210938,309489,0,0
2021-04-21 13:30:00-04:00,157.77769470214844,158.0,156.10000610351562,156.41000366210938,325449,0,0
2021-04-21 14:30:00-04:00,156.39999389648438,158.3990020751953,155.97999572753906,157.289306640625,386585,0,0
2021-04-21 15:29:05-04:00,157.27000427246094,157.27000427246094,157.27000427246094,157.27000427246094,0,0,0
